,source,created_at,text,author_id,id,geo.place_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,geo.coordinates.type,geo.coordinates.coordinates,country,full_name,Timeline
0,Twitter for iPhone,2021-05-20T13:43:36.000Z,“I’m fully vaccinated. Would you prefer I wear a mask?” -my mechanic just now and the right way to do things.,1033694218559074305,1395374653900787714,226b21641df42460,6233,265,85910,311,,,United States,"New Hampshire, USA",After_May
1,Twitter for iPhone,2021-05-27T21:11:52.000Z,"Our team is offering COVID-19 vaccines outside @BrdgstoneArena ahead of tonight’s @PredsNHL game! If you are downtown and would like a vaccine, stop by our blue tent at 5th and Broadway. #NashGetsVaxxed https://t.co/serUMqyHA8",437545780,1398024176175300610,00ab941b685334e3,42,6,179,4,,,United States,"Nashville, TN",After_May
2,Twitter for iPhone,2021-05-27T23:44:42.000Z,We had a great time helping @brentdougherty! We will be set up and offering COVID-19 vaccines through the first period. #NashGetsVaxxed https://t.co/ioMi4YtJ6H,437545780,1398062639683678209,00ab941b685334e3,5,1,14,0,,,United States,"Nashville, TN",After_May
3,Twitter for iPhone,2021-05-27T12:46:02.000Z,"Only 18 cases of an extremely rare condition in just one state? Ah well—if doctors say I need the hastily developed vaccine for the virus that poses virtually no threat to me, I guess that’s just what I’ve got to do. Trust the science! https://t.co/athUCd2dRt",31047836,1397896881175339009,00ab941b685334e3,149,26,788,12,,,United States,"Nashville, TN",After_May
4,Twitter for iPhone,2021-05-29T17:01:29.000Z,"Jacob Aberle &amp; William Boggess hold a banner in front of HatWRKS as protesters gather to protest the stores owner, Gigi Gaskins for utilizing the Jewish Star of David that the Nazis forced Jewish people wear during the Holocaust, as an anti-vaccine sticker. #nashville https://t.co/9AwY7uWkyL",11724302,1398685943054352388,00ab941b685334e3,46,9,221,4,,,United States,"Nashville, TN",After_May
5,Twitter for iPhone,2021-05-21T20:05:19.000Z,This would basically make most of my research impossible. A side effect of this change would be further disadvantaging scholars at smaller institutions with bigger teaching loads who don’t have the time/funding/etc. to access restricted-use data. 1/2. https://t.co/awxno39oIE,1151176503771709446,1395833101180448770,00ab941b685334e3,2,1,8,1,,,United States,"Nashville, TN",After_May
6,Twitter for Mac,2021-05-22T18:54:52.000Z,"I haven’t been able to persuade a couple loved ones who still refuse Covid-19 vaccination. Being constructive and respectful is, admittedly, difficult. Here, @Erika_D_Smith takes readers along with two canvassers trying to get Angelenos to take the shots. https://t.co/4mF2tXJ2b3",46213956,1396177759337058307,00ab941b685334e3,14,4,57,2,,,United States,"Nashville, TN",After_May
7,Twitter for iPhone,2021-05-14T14:10:55.000Z,The CDC says fully vaccinated people can come out of their cage and do just fine,384687345,1393207200584241158,1d9a5370a355ab0c,2239,14,16128,32,,,United States,"Chicago, IL",After_May
8,Twitter for iPhone,2021-05-18T01:53:10.000Z,COVID vaccines can now be given at the same time as other vaccines. Interim Clinical Considerations for Use of COVID-19 Vaccines | CDC https://t.co/ZOXT74QHJs via @CDCgov #ThisIsOurShot,36792279,1394471090186039296,1d9a5370a355ab0c,2,0,4,0,,,United States,"Chicago, IL",After_May
9,Twitter for iPhone,2021-05-13T17:27:19.000Z,"White Sox are increasing fan capacity to 60 percent for their next homestand, hosting vaccination sites at the ballpark, giving out $25 gift cards to use in the park for people who get vaccinated there, and creating vaccinated only sections (in section 108, no less) https://t.co/2zTFezDrqa",152849161,1392894236555632640,1d9a5370a355ab0c,30,6,237,11,,,United States,"Chicago, IL",After_May
10,Twitter for iPhone,2021-05-26T01:51:10.000Z,"@NihonSaram @Joel26244883 @VoteEarlyNow @WandaSpeaks67 @kenklippenstein My body my right or some leftist saying? Don’t want one, don’t get one. But don’t act like because say you never got the flu that you are immune to SARS-CoV-2. 

Reality I got vaccinated so I can see my grandmother and my kids can see their great-grammy. I did it for others.",1216190405135536128,1397369688695377921,1d9a5370a355ab0c,0,2,1,0,,,United States,"Chicago, IL",After_May
11,Twitter for Android,2021-05-15T23:47:43.000Z,"As of today, the White Sox officially reached the 85% vaccination threshold for Tiered players and staff. This means all vaccinated Tier 1 players and staff are not required to wear face masks in the dugout, among other relaxed protocols, per the team.",61658283,1393714744230662150,1d9a5370a355ab0c,15,11,247,3,,,United States,"Chicago, IL",After_May
12,Twitter for iPhone,2021-05-17T19:52:42.000Z,"Fully vaccinated people in Illinois can stop wearing a mask and practicing social distancing in most indoor and outdoor settings, @GovPritzker and the IDPH said. @WGNNews https://t.co/zRfvLHJVZg",250305365,1394380376424988672,1d9a5370a355ab0c,56,23,174,30,,,United States,"Chicago, IL",After_May
13,Twitter for iPhone,2021-05-14T02:37:25.000Z,"I had absolutely zero side effects to either dose (Moderna, baby).

Too many focus on the side effect stories, not enough of us are reporting when we have no side effects.

Get your vaccination. Even if you have side effects, they’re *nothing* compared to getting COVID.",222901797,1393032675313737738,1d9a5370a355ab0c,0,2,20,0,,,United States,"Chicago, IL",After_May
14,Twitter for iPhone,2021-05-18T14:10:50.000Z,sars CoV 2 oblitered the economy as we formerly knew it dude 😭✈️ https://t.co/Blc8vSKhKZ,61537047,1394656730873729025,1d9a5370a355ab0c,0,0,0,0,,,United States,"Chicago, IL",After_May
15,Twitter for iPhone,2021-05-27T00:30:24.000Z,"The amount of fear that right-wing media instills in people is awful and on full display in this video. She posted a follow-up video and she did go ahead and get one of the COVID-19 vaccines so yay

https://t.co/KV8mQAJ5OR https://t.co/9OCmAXvnsV",27209858,1397711752545112065,1d9a5370a355ab0c,0,0,0,0,,,United States,"Chicago, IL",After_May
16,Twitter for iPhone,2021-05-25T15:50:08.000Z,sars-coV-2 created a supply side recession... i would be much more worried about DEflation than modest inflation. think about it like calming yourself down from an anxiety attack by taking deep breaths vs pulling yourself out of a depression spell,61537047,1397218434593787909,1d9a5370a355ab0c,0,0,0,0,,,United States,"Chicago, IL",After_May
17,Twitter for iPhone,2021-05-17T14:45:16.000Z,"When COVID began, the CDC recommended we wear masks to stop the spread. We followed &amp; obeyed. We trusted. 

Now, the CDC recommends vaccinated folks DON’T have to wear masks. But ya’ll say, “well, I don’t know about that.”

Why believe the CDC then but not now? You don’t need it. https://t.co/S3dQYX5I4G",208322515,1394303005852409858,1d9a5370a355ab0c,17,11,177,1,,,United States,"Chicago, IL",After_May
18,Twitter for iPhone,2021-05-15T15:38:34.000Z,"Hey wrestling folks! 

It’s about that time now! 
I’m fully vaccinated and looking to travel, specifically with some of our top students at the @TheFWAcademy! 

Any interest in a carload from Chicago please contact TheMattKnicks@gmail.com 

💜 https://t.co/OrWvgsrurK",471748983,1393591643853389829,1d9a5370a355ab0c,20,1,59,1,,,United States,"Chicago, IL",After_May
19,Twitter for iPhone,2021-05-28T21:14:21.000Z,anyone else who menstruates that received the vaccine experience spotting / two periods in one month?,88824718,1398387189168357382,1d9a5370a355ab0c,2,45,263,3,,,United States,"Chicago, IL",After_May
20,Twitter for iPhone,2021-05-15T19:23:59.000Z,Can someone make an adult-sized one of these with “vaccinated and ready to bang” on da back? https://t.co/irI57Kv5RP,722826900276514816,1393648373685792772,1d9a5370a355ab0c,11,4,180,2,,,United States,"Chicago, IL",After_May
21,Twitter for iPhone,2021-05-16T01:33:55.000Z,Found out a new vaccine side effect... I drank 12 beers??? Has this happened to anyone else?,765090679,1393741467714310144,1d9a5370a355ab0c,0,1,8,0,,,United States,"Chicago, IL",After_May
22,Twitter for iPhone,2021-05-25T16:05:13.000Z,"If you’re going to party in the bars all weekend, maybe don’t lie about being vaccinated?",275646065,1397222228895444992,1d9a5370a355ab0c,6,3,118,0,,,United States,"Chicago, IL",After_May
23,Twitter for iPhone,2021-05-18T20:10:58.000Z,"Former Michigan gubernatorial candidate Detroit’s Dr. Abdul El-Sayed speaks to the crowd in Dearborn, Michigan, saying Palestinians have been “denied COVID-19 vaccines in contraposition to international law by the Israeli government.” @AbdulElSayed @detroitnews https://t.co/Whgnf66QEt",479145838,1394747359003922441,07d9d32c7c881002,24,4,131,0,,,United States,Dearborn Police Station,After_May
24,Twitter for iPhone,2021-05-17T12:30:36.000Z,“The first U.S. multisite test-negative design vaccine effectiveness study among HCP found a single dose of Pfizer-BioNTech or Moderna COVID-19 vaccines to be 82% effective against symptomatic COVID-19 and 2 doses to be 94% effective.” https://t.co/6IXEvAkn8H via @CDCgov,6568672,1394269118975598593,94965b2c45386f87,8,5,24,0,,,United States,"New York, USA",After_May
25,Twitter for iPhone,2021-05-22T01:36:01.000Z,"Science. 

Face masks effectively limit the probability of SARS-CoV-2 transmission https://t.co/YAojxdyycU",28935371,1395916323365040134,94965b2c45386f87,28,1,64,3,,,United States,"New York, USA",After_May
26,Hootsuite Inc.,2021-05-24T17:30:16.000Z,"The @ACLgov is hosting a FREE webinar titled “FAQs About COVID-19 Vaccines that People with Disabilities Should Consider” on Wednesday, May 26th at 3:00PM. For more information and to register visit: https://t.co/4nynCtuzZ4",3472526302,1396881245611732995,94965b2c45386f87,1,0,1,0,Point,"[-73.77623007, 42.65007686]",United States,"New York, USA",After_May
27,Twitter for iPhone,2021-05-18T15:56:10.000Z,"Barring any last minute regulatory changes, @StewartsShops will allow vaccinated customers to shop mask-free effective Wednesday, May 19. Our Partners will remain masked until next Monday the 24th, and until they have shown proof of vaccination.",255649007,1394683237079949314,94965b2c45386f87,13,14,71,10,,,United States,"New York, USA",After_May
28,Twitter for iPhone,2021-05-23T20:46:10.000Z,"3 things Republicans get, under a cloak of secrecy:

Vaccinations, abortions, and that the Big Lie is bulls—",270132611,1396568159373643787,e4a0d228eb6be76b,1714,59,8591,25,,,United States,"Philadelphia, PA",After_May
29,Twitter for iPhone,2021-05-23T17:57:51.000Z,"Rand Paul, the Senate’s village idiot, refuses to get vaccinated

Is he aware that his orange cow god, who also contracted Covid, willingly got the vaccine?",270132611,1396525799252144140,e4a0d228eb6be76b,912,262,4935,59,,,United States,"Philadelphia, PA",After_May
30,Twitter for iPhone,2021-05-21T17:22:42.000Z,"Fully vaccinated and loving life!

Will you get vaccinated, too? 😘 https://t.co/zJrCFVKhBE",270132611,1395792177813405703,e4a0d228eb6be76b,250,308,4039,32,,,United States,"Philadelphia, PA",After_May
31,Twitter for Android,2021-05-26T00:38:38.000Z,Celebrating Vaccination Mission Partnership Day w/ @fema @FEMAregion3 @PHLPublicHealth @PhilaOEM @PhillyCityRep at @PAConvention to recognize &amp; say THANK YOU to all the teams for their dedicated service the last 12 weeks  administering COVID-19 vaccines. Continue to #VaxUpPhilly. https://t.co/cndB6gyTi5,2239734750,1397351434509864968,e4a0d228eb6be76b,0,0,10,0,,,United States,"Philadelphia, PA",After_May
32,Twitter for Android,2021-05-26T17:27:09.000Z,"""Some European influencers say they received an offer to post false information about COVID-19 vaccines from a mysterious company, according to multiple reports""  https://t.co/xiKzWUk2Vo",130511939,1397605237377093634,e4a0d228eb6be76b,1,0,0,0,,,United States,"Philadelphia, PA",After_May
33,Twitter for iPhone,2021-05-30T02:04:14.000Z,"🚨 COVID-19 Vaccines in La Puente 🚨 

La Puente Mutual Aid will be at Northgate tomorrow, May 30th, from 12-4pm pre-registering community members for COVID-19 vaccine appointments! If interested, visit us and we can assist you in scheduling an appointment!",976704740334514176,1398822528173309952,07d9e4ca3ac83000,14,1,10,0,,,United States,"La Puente, CA",After_May
34,Twitter for iPhone,2021-05-16T19:18:26.000Z,What happens when you bring 150 COVID-19 vaccines and 300 people show up? You go get more vaccine and you rally! Incredible turnout at St. Peter Canisius Catholic Church today! Open until 1 p.m. if you’re in Sun Valley today. https://t.co/dSGebROBKK,1240386128177291271,1394009365661683712,8f6f3f1941bc1936,9,5,99,4,,,United States,"Sun Valley, NV",After_May
35,Twitter for Android,2021-05-21T23:16:13.000Z,I have a question how many of you that have been fully vaccinated are still wearing masks? Be honest!,534630009,1395881143006687234,4980bc1544652d22,427,5288,10909,371,,,United States,"Ogden, UT",After_May
36,Twitter for iPhone,2021-05-25T20:02:10.000Z,"What’s the deal with all these UFOs? Where’s the Salvator Mundi? Where did SARS-CoV-2 come from? What was Jeffrey Epstein up to? What happened to Flight MH370?
We’re fools. We don’t know anything. Honestly we don’t even want to know.",60374592,1397281860661747714,01a9a39529b27f36,1,6,124,1,,,United States,"Manhattan, NY",After_May
37,Twitter for iPhone,2021-05-13T21:26:24.000Z,"The CDC says fully vaccinated people can take off their mask and feel the rain on their skin! No one else can do it for you! Only you can let it in. No one else! No one else can speak the works on your lips! Drench yourself in words unspoken, live your life with arms wide open!",320412389,1392954405134159879,01a9a39529b27f36,110,8,904,4,,,United States,"Manhattan, NY",After_May
38,Twitter for iPhone,2021-05-16T00:27:07.000Z,"Funny. Now I identify as “morally, ethically and intellectually superior to unvaccinated dicks who go maskless and ‘identify as vaccinated.’” https://t.co/6SHlDAsEXL",22730752,1393724660764786691,01a9a39529b27f36,126,51,1178,5,,,United States,"Manhattan, NY",After_May
39,Twitter for iPhone,2021-05-18T19:56:31.000Z,"Maybe I’m underreacting, but it feels like an appropriate reaction to vaccinated people who choose to keep masking is… “Cool.” https://t.co/hbcqp39lXg",22730752,1394743725058924548,01a9a39529b27f36,38,61,1160,5,,,United States,"Manhattan, NY",After_May
40,Twitter for iPhone,2021-05-23T23:21:45.000Z,"Several gay bars in Chelsea and other parts of NYC are requiring proof of vaccination—Excelsior pass or other proof—or proof of negative covid test for entry.

This is great, something gyms and other businesses aren’t doing (just doing “honor system”).",18124790,1396607312257822723,01a9a39529b27f36,48,23,452,5,,,United States,"Manhattan, NY",After_May
41,Twitter for iPhone,2021-05-25T16:54:30.000Z,"#NewsFlash: @UN Secretary General “had a very good discussion” with External Affairs Minister @DrSJaishankar. “They discussed COVID-19, the issue of vaccines, and also a number of other peace and security issues in general”: @UN_Spokesperson @StephDujarric to @PTI_News. @MEAIndia",160983477,1397234634065387522,01a9a39529b27f36,2,0,10,1,,,United States,"Manhattan, NY",After_May
42,Twitter for iPhone,2021-05-26T20:24:18.000Z,I don’t understand why only 5% of COVID vaccination breakthrough infections are being sequenced. Wouldn’t sequencing breakthrough cases be highest yield for picking up emerging variants? https://t.co/ErgFpNQh5s,58006725,1397649819804573697,01a9a39529b27f36,47,17,260,4,,,United States,"Manhattan, NY",After_May
43,Twitter for iPhone,2021-05-29T00:26:33.000Z,"They should do this for other vaccines, not just #COVID-19 https://t.co/mIFJJlLakN",637139442,1398435559366930441,01a9a39529b27f36,0,0,0,0,,,United States,"Manhattan, NY",After_May
44,Twitter for iPhone,2021-05-18T16:29:10.000Z,So grateful for the vaccine and for being able to go most places without a mask. Mine was getting so uncomfortable. https://t.co/Yyw45NaH4u,22730752,1394691543584452612,01a9a39529b27f36,24,31,403,5,,,United States,"Manhattan, NY",After_May
45,Twitter for iPhone,2021-05-25T09:34:35.000Z,"@TheSeigeDFS They definitely confirmed that he is not vaccinated.

However, vaccine skeptic is more accurate: it isn’t actually a vaccine against SARS-CoV-2 and its mechanism is extremely risky for certain populations.

That it is being pushed on ppl who already have antibodies is despicable.",981702713066033152,1397123924496838660,01a9a39529b27f36,0,0,0,0,,,United States,"Manhattan, NY",After_May
46,Twitter for iPhone,2021-05-27T19:20:47.000Z,If people talked about life vests like they talk about vaccines #vaccine #vaccines feat. @waltermasterson https://t.co/eGeJ2qu5iY,1284209715505815552,1397996223399858178,01a9a39529b27f36,63,5,212,14,,,United States,"Manhattan, NY",After_May
47,Twitter for iPhone,2021-05-23T23:39:04.000Z,Kiss cam but it’s in the vaccinated section and it’s spit in their mouth cam,65544386,1396611668218720264,01a9a39529b27f36,12,14,234,3,,,United States,"Manhattan, NY",After_May
48,Instagram,2021-05-23T07:49:23.000Z,"New York announced a lottery promotion tied to receiving COVID-19 vaccines on Thursday, May 20. 

#nyc #inkahustler #photography📷📷 #manhattan #covid_19 @ Manhattan, New York https://t.co/VzxAOrgzKT",17552583,1396372675908546564,01a9a39529b27f36,0,0,0,0,Point,"[-73.9675, 40.7779]",United States,"Manhattan, NY",After_May
49,Twitter for iPhone,2021-05-17T00:09:40.000Z,The pharmacy near my house in Chinatown has plenty of vaccines and also laminates ur card for you for an extra $5. https://t.co/lZQelV5mck,118990336,1394082657043157002,01a9a39529b27f36,5,5,289,2,,,United States,"Manhattan, NY",After_May
50,Twitter for iPhone,2021-05-27T01:39:48.000Z,"The rich countries that make and buy the bulk of the world’s vaccines control the fate of the world

But as stockpiles grow, we need to pivot to fight the Covid-19 worldwide — not because it’s the right thing to do, but because it’s in our best interest

https://t.co/1fzMQYl0eW",17941960,1397729217903841280,01a9a39529b27f36,2,0,1,0,,,United States,"Manhattan, NY",After_May
51,Twitter for iPhone,2021-05-16T19:08:04.000Z,"Yesterday .57% rate in MH, 93 tested positive, 2 fatalities. State positivity rate is 1%. NYC 7-day avg is .95%. MTA vaccination sites at Penn Station, Grand Central, E. 180 St in the Bronx, and Bway Junction in BK open through Saturday. First come, first served- J&amp;J vaccine.",18590012,1394006757312172034,01a9a39529b27f36,15,1,43,3,,,United States,"Manhattan, NY",After_May
52,Twitter for iPhone,2021-05-22T01:28:53.000Z,Underappreciated legit reason for fully vaccinated to wear masks outside. #WorstEffingPollenSeasoninYears,14616610,1395914529863786499,01a9a39529b27f36,9,9,116,1,,,United States,"Manhattan, NY",After_May
53,Twitter for Android,2021-05-22T21:55:33.000Z,"Ohio @GovMikeDeWine introduced the Vax-A-Million lottery as a marketing tool for the COVID-19 vaccines

A lawmaker wants to stop the drawings from happening. They represent two counties that lag behind Ohio's overall vaccination rate. For @OhioCapJournal:

https://t.co/2QzsV1Cd68",468665640,1396223232651534339,77aa8a0640caa98c,9,4,31,2,,,United States,"Athens, OH",After_May
54,Twitter for iPhone,2021-05-25T12:08:30.000Z,"This piece by @yangyang_cheng is the best I’ve read about the investigation into the origins of SARS-CoV-2. The debate tells us more about global politics than science, and highlights lack of transparency in both the US and China. H/t @K_G_Andersen 
https://t.co/qOsEuovPIy",2201979738,1397162656537190400,47aff34722fae115,3,0,20,0,,,United States,"Arlington, MA",After_May
55,Twitter for iPhone,2021-05-18T14:10:26.000Z,"Headlining science facts that people will continue to fight in 2021:

1. There’s no evidence of anything unusual in the skies around Navy planes.

2. “Havana Syndrome” is a combination of psychogenic and other factors, not a weapon.

3. SARS-CoV-2 did not come from a lab.",14914631,1394656628717273088,4734e7f064c9a524,6,4,40,1,,,United States,"Deschutes River Woods, OR",After_May
56,Twitter for Android,2021-05-15T14:18:50.000Z,"I stopped by Wayne Health's event this AM. They have COVID-19 vaccines, testing, etc and lots of community resources are on hand like the Nurse Family Partnership, LGBT Detroit, Detroit Parent Network, ACCESS, Detroit Wayne Integrated Health Network.  They will be there until 1! https://t.co/LCX1wjKi4U",16785950,1393571578370211840,174a38cb21d9b8fb,4,0,22,0,,,United States,"Brush Park, Detroit",After_May
57,Twitter for iPhone,2021-05-26T14:54:16.000Z,"TOMORROW “@paoramos and the Marias Say, ‘Women Mobilize to Protect Their Families, Learn About COVID-19 Vaccines.’” https://t.co/n2pQ8TauvT",366220747,1397566764716806149,3df4f427b5a60fea,7,0,29,0,,,United States,"San Antonio, TX",After_May
58,Twitter for iPhone,2021-05-22T14:10:19.000Z,SARS-CoV-2–Specific Antibodies in Breast Milk After COVID-19 Vaccination of Breastfeeding Women https://t.co/h8swt4l80p via @JAMA_current part of @JAMANetwork,65543768,1396106152908361729,3df4f427b5a60fea,0,1,0,0,,,United States,"San Antonio, TX",After_May
59,Twitter for iPhone,2021-05-24T23:03:06.000Z,"Breaking: One million - that’s the number of people in Bexar County who have received at least one dose of a COVID-19 vaccine as of today, according to San Antonio Metro Health. 

@TPRNews",19704183,1396965004621107201,3df4f427b5a60fea,28,3,172,2,,,United States,"San Antonio, TX",After_May
60,Twitter for iPhone,2021-05-22T15:04:54.000Z,Ok. I am vaccinated. Did anyone else get a red bracelet that says Covid Vaccinated? I took Tylenol a few minutes ago and got Gatorade on my way home. I feel like a weight has been lifted off my shoulders. ❤️❤️❤️,1091848067354120192,1396119886456369152,3df4f427b5a60fea,12,75,386,3,,,United States,"San Antonio, TX",After_May
61,Twitter for iPhone,2021-05-22T06:02:48.000Z,"Move over, SARS-CoV-2...
There is a new spiky sheriff in town. 
Critical RSV is back. 
In full force. 
In late MAY! 
#PedsICU https://t.co/8hJn0yOumf",396636981,1395983464298582017,07d9d22201080001,11,7,44,1,,,United States,Duke University Medical Center,After_May
62,Twitter for iPhone,2021-05-28T19:34:41.000Z,"It was an honor and a privilege to administer COVID-19 vaccines at the world-famous “Welcome to Fabulous Las Vegas” sign! Thank you to @repdinatitus, Clark County Commissioners @JustinJonesNV and @MichaelNaft, and @ImmunizeNV for putting on this wonderful event. https://t.co/A0Xu7c2rGY",297197451,1398362109394644992,0e2242eb8691df96,5,2,20,1,,,United States,"Henderson, NV",After_May
63,Twitter for iPhone,2021-05-30T23:33:04.000Z,"What a thrill to brunch with these @komonews and @UnivisionSea ladies! I’m so lucky to work with such a talented and diverse group of women 🥰 🥂🍳✨#girlpower

*secret brunch superpower: immunity via COVID-19 vaccines 💪🏻 https://t.co/y23KCO47Ta",729986281,1399146875903639558,07d9d5443d084001,1,0,27,0,,,United States,Terra Plata,After_May
64,Twitter for iPhone,2021-05-15T12:30:05.000Z,We are back at the Charleston Coliseum and Convention Center today offering COVID-19 vaccines until 2 p.m. for those age 12 and up. Walk-ins are welcome beginning at 10 a.m. https://t.co/45REjeqn6g,2964686201,1393544212549939202,71f2805dd75bc147,6,0,18,0,,,United States,"Charleston, WV",After_May
65,Twitter for Android,2021-05-15T21:15:37.000Z,"Our Amazing @SocorroISD Nurses, polices services, &amp; Immunize El Paso helping to provide Covid-19 Vaccines this Saturday. My family thanks you!🙏 💙 #MooseUniverse 💫 @Montwood_MS @SISD_ADM @SISDClinic #TeamSISD https://t.co/duZmjI9Qv4",773713419530866688,1393676465980510212,6a0a3474d8c5113c,4,0,21,0,,,United States,"El Paso, TX",After_May
66,Twitter for iPhone,2021-05-15T19:00:09.000Z,"#TeamSISD nurses, police officers, &amp; security guards working in collaboration w/ @immunizeelpaso to vaccinate 1,000 people 12yrs young &amp; older at our SISD Police Station’s drive-through Vaccination HUB. Got goosebumps of joy seeing so many of our students &amp; families participate. https://t.co/gOHH99QIIu",2774788685,1393642374014939137,6a0a3474d8c5113c,21,1,93,2,,,United States,"El Paso, TX",After_May
67,Twitter for iPhone,2021-05-23T02:14:48.000Z,#TeamSISD paying it forward one vaccination at a time. 447 Moderna 2nd doses administered today by our SISD Employee Clinic and SISD Nurses @ SISD Police Station. Thank you!!!!- @SISDClinic @SISD_Nurses @ICastro_ADM @SOCORROISDPD1🤗 https://t.co/Xni3cu1D0s,2774788685,1396288474853093379,6a0a3474d8c5113c,34,0,112,1,,,United States,"El Paso, TX",After_May
68,Twitter for iPhone,2021-05-23T17:51:14.000Z,@johnchoemd In the Immunocompromised patient population I always “shake elbows” to help with awareness that hands are a pathway to many infections beyond SARS-CoV-2,3187144393,1396524132607479808,300bcc6e23a88361,4,3,16,0,,,United States,"Seattle, WA",After_May
